timestep	potential_energy	temperature
0	213578.6438	0.8026674416
500	72392.3241	2.907722301
1000	61735.38644	1.121145369
1500	60138.00978	0.854086858
2000	59746.95404	0.8175147695
2500	59576.06979	0.8161879237
3000	59640.25889	0.792793224
3500	59504.4641	0.7963948132
4000	59472.42149	0.7848346888
4500	59403.00881	0.8139880061
5000	59488.99314	0.8106274684
5500	59443.43812	0.8214574049
6000	59416.71137	0.8085802542
6500	59389.10864	0.80515884
7000	59288.22798	0.789065223
7500	59199.86579	0.8006215846
8000	59386.52404	0.8180985312
8500	59251.08737	0.8232264508
9000	59451.30977	0.8005869013
9500	59474.44726	0.816222729
